NewData_1;NewData_2;NewData_3;NewData_4;NewData_5;NewData_6;NewData_7;NewData_8;NewData_9;NewData_10;NewData_11;NewData_12;NewData_13;NewData_14;NewData_15;NewData_16;NewData_17;NewData_18;NewData_19;NewData_20;NewData_21;NewData_22;NewData_23
2;4;63732483707.6615;-0.1676584;0.7634801;-1.299622;-0.9615417;-0.1422685;-0.228425;0.05494741;1;2;41;163.7903;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483710.5755;0.02262191;0.7646247;-1.305685;-0.9081738;-0.1232468;-0.3921823;0.07889004;5;2;42;166.7039;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483713.3741;0.03775582;0.7648096;-1.313949;-0.9181659;-0.1285467;-0.3669717;0.0760201;5;2;43;169.5022;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483716.069;-0.1596535;0.7632384;-1.302163;-0.9544376;-0.1378335;-0.2581849;0.05823626;1;2;44;172.1978;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483719.7807;-0.150148;0.7630498;-1.203912;-0.963816;-0.1358867;-0.2218894;0.05795291;2;2;45;175.9093;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483723.5436;0.09467559;0.7661399;-1.391789;0.8164024;0.1022742;0.5609395;-0.09150948;6;2;46;179.6723;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483726.9565;-0.1487557;0.7632986;-1.168191;0.9611065;0.134791;0.2339338;-0.05814358;3;2;47;183.0847;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483730.1072;-0.0381796;0.7638971;-1.266865;0.9355128;0.1334435;0.3193415;-0.07092056;4;2;48;186.2353;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483732.5956;-0.1600225;0.7654902;-1.435735;0.9434112;0.1412885;0.2927037;-0.06586053;0;2;49;188.7243;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483735.3508;-0.1499449;0.7633951;-1.176101;0.9713199;0.1467866;0.1793424;-0.05317532;3;2;50;191.4795;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
